Faculty;Programme;Academic_Plan_Code;Qualification_Type;Duration_Years;Campus;Min_AP;English_Requirement;Mathematics_Requirement;MathLit_Accepted;Life_Sciences_Requirement;Physical_Sciences_Requirement;Additional_Subject_Requirements;Subject_to_Selection;Application_Closing_Date;Special_Notes;Source;;;;;;;;;;;;;;;;;;;;;;;;
APS SYSTEM NOTE;;;;;;;;UFS uses a MODIFIED NSC scale: Level 7 (90-100%) = 8 AP;Level 7 (80-89%) = 7 AP;Levels 1-6 map directly (level = AP points). Life Orientation earns 1 bonus AP point ONLY if achieved at Level 5 (60%) or higher. AP is calculated from 6 academic subjects + LO bonus. Maximum AP = 49. No points awarded for subject achievement below 30%. Selection for all programmes is merit-based from highest AP downward until places are filled — meeting the minimum does not guarantee admission.;;;;;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Economic and Management Sciences;Bachelor of Commerce (BCom) General;BC630000;Bachelor's Degree;3;Bloemfontein;28;Level 4 (50%);Level 4 (50%);No;Not required;Not required;;No;30 September 2025;Broad BCom; specialisations include Economics, Finance, Marketing, Business Management, HRM; distinct plans for each specialisation;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;
Economic and Management Sciences;BCom with specialisation in Economics;BC630020;Bachelor's Degree;3;Bloemfontein;28;Level 4 (50%);Level 4 (50%);No;Not required;Not required;;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Economic and Management Sciences;BCom with specialisation in Finance;BC630025;Bachelor's Degree;3;Bloemfontein;28;Level 4 (50%);Level 4 (50%);No;Not required;Not required;;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Economic and Management Sciences;BCom with specialisation in Business and Financial Analytics;BC638080;Bachelor's Degree;3;Bloemfontein;34;Level 4 (50%);Level 5 (60%);No;Not required;Not required;;No;30 September 2025;Higher AP (34) and Maths L5 required — the most demanding of the BCom specialisations;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Economic and Management Sciences;BCom with specialisation in Marketing;BC630010;Bachelor's Degree;3;Bloemfontein;28;Level 4 (50%);Level 3 (40%);No;Not required;Not required;;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Economic and Management Sciences;BCom with specialisation in Business Management;BC630012;Bachelor's Degree;3;Bloemfontein;28;Level 4 (50%);Level 3 (40%);No;Not required;Not required;;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Economic and Management Sciences;BCom with specialisation in Human Resource Management;BC630030;Bachelor's Degree;3;Bloemfontein;28;Level 4 (50%);Level 3 (40%);No;Not required;Not required;;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Economic and Management Sciences;BCom (Law);BC637070;Bachelor's Degree;3;Bloemfontein;33;Level 4 (50%);Level 4 (50%);No;Not required;Not required;;No;30 September 2025;Higher AP (33); combines Commerce and Law modules;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Economic and Management Sciences;Bachelor of Accounting (BAcc);BC636060;Bachelor's Degree;3;Bloemfontein;34;Level 4 (50%);Level 5 (60%);No;Not required;Not required;;No;30 September 2025;Accredited by SAICA for Chartered Accountant (CA(SA)) pathway;SAICA Level 1 rating (highest available); BAcc + PGDip (CA) or BAcc Honours = CA programme;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;
