row_id;Programme Name;Qualification Type;NQF Level;NSC Pass Type Required;Min_English_%;Min_Mathematics_%;Min_MathsLiteracy_%;Min_TechnicalMaths_%;Other_Required_Subjects;Faculty;Campuses;Study Modes;Notes;;;;;;;;;;;
1;Higher Certificate in Management Extended Programme;Higher Certificate;5;Higher Certificate pass;30;;;;;School of Administration & Management;"Distance Learning (Krugersdorp JHB; Durban; Support Centres: George; Mbombela; Polokwane)";Distance Learning;For students not yet meeting entry requirements for degree/diploma studies. Pathway into Diploma in Management. No specific Maths requirement. RPL available.;;;;;;;;;;;
2;Higher Certificate in Software Development;Higher Certificate;5;Higher Certificate pass;30;40;70;;;School of Information Technology;"Centurion (Pretoria); Durbanville (Cape Town); Musgrave (Durban); Waterfall (Midrand); Distance Learning";"Contact Learning; Distance Learning";Technical Mathematics not explicitly mentioned by Stadio. Maths Lit 70% accepted. Bridging module available for students who do not meet Maths minimum. Pathway into Bachelor of Business Information Systems.;;;;;;;;;;;
3;Higher Certificate in Graphic Web Design;Higher Certificate;5;Higher Certificate pass;40;;;;;School of Media & Design;"Centurion (Pretoria); Durbanville (Cape Town); Musgrave (Durban); Waterfall (Midrand)";Contact Learning;No Maths requirement. English 40% (HL) or 30% (FAL). Pathway into BIT in Web Design and Development (NQF 7). Blended learning with campus sessions.;;;;;;;;;;;
4;Higher Certificate in Photography;Higher Certificate;5;Higher Certificate pass;30;;;;;School of Media & Design / School of Fashion;"Centurion (Pretoria); Durbanville (Cape Town); Musgrave (Durban); Waterfall (Midrand)";Contact Learning;No Maths requirement. English 30% (HL or FAL). Pathway into BArts in Visual Arts in Visual Communication Design (NQF 7).;;;;;;;;;;;
5;Diploma in Management;Diploma;6;Diploma pass;40;;;;;School of Administration & Management;"Centurion (Pretoria); Durbanville (Cape Town); Musgrave (Durban); Waterfall (Midrand); Distance Learning";"Contact Learning; Distance Learning";Diploma pass required (4 subjects at 40% including English). No Maths requirement. Specialisations: General; Human Resource Management; Records Management; Aviation Management. Pathway into Bachelor's degree.;;;;;;;;
6;Bachelor of Business Administration;Bachelor;7;Bachelor's pass;40;;;;;School of Administration & Management;"Distance Learning (Krugersdorp JHB; Durban; Support Centres: George; Mbombela; Polokwane)";Distance Learning;No Maths requirement. NSC Bachelor's pass with 40% English. Specialisations: General; Project Management; Entrepreneurship & Innovation; Public Sector Management; Logistics & Supply Chain; Disaster Risk Management;Advertising & Promotions. RPL available (max 10% per cohort).;;;;;
7;Bachelor of Arts;Bachelor;7;Bachelor's pass;40;;;;;School of Arts & Humanities;"Distance Learning (Krugersdorp JHB; Durban; Support Centres: George; Mbombela; Polokwane)";Distance Learning;No Maths requirement. Majors include Public Administration and Development Studies. Mature age exemption available (23+ or 45+). RPL available.;;;;;;;;;;;
8;Bachelor of Commerce;Bachelor;7;Bachelor's pass;40;40;60;;;School of Commerce;"Centurion (Pretoria); Durbanville (Cape Town); Musgrave (Durban); Waterfall (Midrand); Distance Learning";"Contact Learning; Distance Learning";Pure Maths 40% OR Maths Lit 60%. Technical Maths not explicitly stated. Contact majors: General; Digital Marketing; Financial Management; Human Resource Management; International Business; Investment Management; Project Management. Distance majors: General; Investment Management; Financial Management; HRM; Economics;Project Management. Students without Maths conditionally admitted and registered for a Maths support module in semester 1.
9;Bachelor of Commerce in Accounting;Bachelor;7;Bachelor's pass;40;40;60;;;School of Commerce;"Centurion (Pretoria); Durbanville (Cape Town); Musgrave (Durban); Waterfall (Midrand); Distance Learning";"Contact Learning; Distance Learning";Pure Maths 40% OR Maths Lit 60%. Technical Maths not explicitly stated. Students without Maths conditionally admitted with Maths bridging module. Pathway to BCom Honours and CA pathway possible.;;;;;;;;;;;
10;Bachelor of Education in Foundation Phase Teaching;Bachelor;7;Bachelor's pass;50;;;;;School of Education;"Centurion (Pretoria); Durbanville (Cape Town); Musgrave (Durban); Waterfall (Midrand); Distance Learning";"Contact Learning; Distance Learning";No specific Maths requirement. English 50% (HL or FAL). Teaching Affidavit required on application. Teaches Grades R–3. Mature age exemption available.;;;;;;;;;;;
11;Bachelor of Education in Intermediate Phase Teaching;Bachelor;7;Bachelor's pass;50;40;50;;;School of Education;"Centurion (Pretoria); Durbanville (Cape Town); Musgrave (Durban); Waterfall (Midrand)";Contact Learning;English 50% (HL or FAL). Pure Maths 40% OR Maths Lit 50%. Mathematics bridging support required for students with 30–39% Maths or 40–49% Maths Lit. Teaching Affidavit required. Teaches Grades 4–7. Language options: Afrikaans; English; isiXhosa; isiZulu; Sepedi; Setswana; Xitsonga (language availability varies per campus).;;;;;
12;Bachelor of Arts in Fashion;Bachelor;7;Bachelor's pass;45;55;75;;Accounting 50% accepted as Maths alternative;School of Fashion;"Centurion (Pretoria); Durbanville (Cape Town); Musgrave (Durban); Waterfall (Midrand)";Contact Learning;Pure Maths 55% OR Maths Lit 75% OR Accounting 50%. Technical Maths not explicitly stated. Three specialisations offered. NBT for diagnostic purposes. Portfolio or interview may be required. Pathway to BArts (Honours) in Fashion.;;;;;;;;;;;
