Faculty;Programme;Academic_Plan_Code;SAQA_ID;NQF_Level;Qualification_Type;Duration_Years;Campus;Min_APS;English_Requirement;Mathematics_Requirement;MathLit_Accepted;Life_Sciences_Requirement;Physical_Sciences_Requirement;Additional_Subject_Requirements;Subject_to_Selection;Special_Notes;Source;;;
APS SYSTEM NOTE;;;;;;;;"SPU uses a MODIFIED and UNIQUE APS system that differs from most SA universities. Base points: 8 for 90–100%, 7 for 80–89%, 6 for 70–79%, 5 for 60–69%, 4 for 50–59%, 3 for 40–49%, 2 for 30–39%, 1 for 0–29%. BONUS POINTS (added on top of base): +2 for Mathematics (pure) at 60%+ (Level 5+); +1 for Mathematics at 50–59% (Level 4) or 40–49% (Level 3). LANGUAGE BONUS: +2 for any official language taken as Home Language (HL) at Level 5+; +1 at Level 4 or Level 3. LIFE ORIENTATION EARNS POINTS: 4 pts for 90–100%, 3 for 80–89%, 2 for 70–79%, 1 for 60–69%, 0 for below 60%. This means the SPU maximum APS is considerably higher than the standard 42-point maximum. KEY: The APS minimums listed per programme reflect the SPU-calculated score (with bonuses included), not a standard 7-point scale total. Single campus: Kimberley, Northern Cape. Applications via CAO. LOLT (Language of Learning and Teaching) is English — all programmes require English HL L4 or FAL L5.";;;;;;;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;;;;;
Faculty of Education;Bachelor of Education — Foundation Phase Teaching (Grade R–3);EDU720;119582;7;Bachelor's Degree;4;Kimberley;30 (Bachelor's route) / 25 + ECD L5 (Diploma/Cert route);English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 3;Yes — Mathematical Literacy NSC Level 4 accepted;Not required;Not required;SECOND LANGUAGE (one of): Afrikaans HL/FAL L4 OR Setswana HL/FAL L4 OR isiXhosa HL/FAL L4 required in addition to English. Certificate/Diploma route requires APS 25 PLUS SAQA-accredited ECD Level 5 qualification;No;Two admission routes: (1) Bachelor's endorsement + APS 30;(2) Certificate or Diploma endorsement + APS 25 + SAQA-accredited ECD Level 5 qualification. Eligible for Funza Lushaka Bursary;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;;
Faculty of Education;Bachelor of Education — Intermediate Phase Teaching: Languages, Mathematics, Natural Science and Technology (Grades 4–6);EDU723;99722;7;Bachelor's Degree;4;Kimberley;30;English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 4 (compulsory);No — Mathematical Literacy NOT accepted for this specialisation;Life Sciences NSC Level 4 (compulsory);Physical Sciences NSC Level 4 (compulsory);SECOND LANGUAGE (one of): Afrikaans HL/FAL L4 OR Setswana HL/FAL L4 OR isiXhosa HL/FAL L4 required;Maths L4 + Physical Sciences L4 + Life Sciences L4 ALL compulsory;No;All three science/maths subjects are compulsory — no subject waivers. Eligible for Funza Lushaka Bursary;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;;
Faculty of Education;Bachelor of Education — Intermediate Phase Teaching: Languages, Social Sciences and Life Skills (Grades 4–6);EDU724;99722;7;Bachelor's Degree;4;Kimberley;30;English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 2 OR Mathematical Literacy NSC Level 3;Yes — Mathematical Literacy accepted;Not required;Not required;SECOND LANGUAGE (one of): Afrikaans HL/FAL L4 OR Setswana HL/FAL L4 OR isiXhosa HL/FAL L4 required;PLUS one of: Geography NSC Level 4 OR History NSC Level 4;No;Eligible for Funza Lushaka Bursary;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;;
Faculty of Education;Bachelor of Education — Senior and FET Phase Teaching: Life Sciences, Natural Sciences and Mathematics (Grades 7–12);EDU740;96406;7;Bachelor's Degree;4;Kimberley;30;English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 4 (compulsory);No — Mathematical Literacy NOT accepted for this specialisation;Life Sciences NSC Level 4 (compulsory);Not required (Physical Sciences recommended);Bachelor's Degree endorsement;Maths L4 AND Life Sciences L4 both compulsory;No;Eligible for Funza Lushaka Bursary;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;;
Faculty of Education;Bachelor of Education — Senior and FET Phase Teaching: Languages OR Language and History (Grades 7–12);EDU741;96406;7;Bachelor's Degree;4;Kimberley;30;English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 2 OR Mathematical Literacy NSC Level 3;Yes — Mathematical Literacy accepted;Not required;Not required;SECOND LANGUAGE (one of): Afrikaans HL/FAL L4 OR Setswana HL/FAL L4 required;If History selected as elective: History NSC Level 4 required;No;Eligible for Funza Lushaka Bursary;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;;
Faculty of Education;Bachelor of Education — Senior and FET Phase Teaching: History, Social Sciences and Language (Grades 7–12);EDU742;96406;7;Bachelor's Degree;4;Kimberley;30;English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 2 OR Mathematical Literacy NSC Level 3;Yes — Mathematical Literacy accepted;Not required;Not required;SECOND LANGUAGE (one of): Afrikaans HL/FAL L4 OR Setswana HL/FAL L4 required;Geography NSC Level 4 AND History NSC Level 4 BOTH compulsory;No;Eligible for Funza Lushaka Bursary;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;;
Faculty of Education;Bachelor of Education — Senior and FET Phase Teaching: Accounting, Economics, Business Studies and Economic Management Sciences (Grades 7–12);EDU743;96406;7;Bachelor's Degree;4;Kimberley;30;English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 2 OR Mathematical Literacy NSC Level 3;Yes — Mathematical Literacy accepted;Not required;Not required;Bachelor's Degree endorsement;ANY TWO of: Accounting NSC Level 4 OR Business Studies NSC Level 4 OR Economics NSC Level 4;No;Eligible for Funza Lushaka Bursary;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;;
Faculty of Education;Postgraduate Certificate in Education (PGCE);N/A;119074;7;Postgraduate Certificate;1;Kimberley;N/A — postgraduate entry;English proficiency as per prior degree/diploma;N/A — entry based on prior qualification;N/A;N/A;N/A;Entry requires: Approved Bachelor's degree at NQF Level 7 OR appropriate 360-credit exit NQF Level 6 Diploma;must include two recognised school subjects — one as a FET major (48+ credits NQF L7 over 2–3 years) and one as SP subject (24+ credits NQF L6 over one year);Yes;Full-time; face-to-face and online lectures on SPU campus compulsory;10 weeks compulsory teaching practice in Kimberley schools. FET and SP teaching subjects available — see prospectus for full list;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf
Faculty of Economic and Management Sciences;Bachelor of Commerce in Accounting;N/A;118404;7;Bachelor's Degree;3;Kimberley;30;English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 5 OR (Mathematics NSC Level 4 AND Accounting NSC Level 3);No — Mathematical Literacy NOT accepted;Not required;Not required;Bachelor's Degree endorsement;Accounting L3 can substitute for Maths L5 if Maths L4 is achieved;No;Two maths routes: (1) Maths L5 alone;or (2) Maths L4 + Accounting L3. RPL applicable per university policy;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;
