Faculty;Programme;Academic_Plan_Code;Qualification_Type;Duration_Years;Campus;Min_APS_with_Maths;Min_APS_with_MathLit;English_Requirement;Mathematics_Requirement;MathLit_Accepted;Life_Sciences_Requirement;Physical_Sciences_Requirement;Additional_Subject_Requirements;Subject_to_Selection;Special_Notes;Source;;;;;;;;
APS SYSTEM NOTE;;;;;;;;UMP uses the standard NSC 7-point scale for APS. IMPORTANT EXCEPTION: Life Orientation (LO) is divided by 2 when calculating APS (unlike most other SA universities where LO earns 0 or a fixed bonus). The seven prescribed NSC subjects are used in calculating APS. If an applicant included more than the minimum three electives in their NSC, the four best electives plus the three compulsories are used. Two campuses: Mbombela Campus (main) and Siyabuswa Campus. Meeting the minimum APS does not guarantee admission — places are limited. Mathematical Literacy IS accepted for most programmes but NOT for BCom General or BICT; specific MathLit APS thresholds apply (typically higher than the Maths APS). Minimum APS values are listed separately for the Maths and MathLit routes where two figures are given.;;;;;;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;;;;;;;
Economics Development and Business Sciences;Bachelor of Development Studies;N/A;Bachelor's Degree;3;Mbombela;32;32;English HL or FAL Level 4 (50%);Level 2 (30%);Yes — Mathematical Literacy Level 3 (40%) accepted;Not required;Not required;History OR Geography at Level 4 (50%);AND one Commercial or Social Sciences subject at Level 4 (50%);No;Single APS threshold (32) regardless of whether Maths or MathLit is used;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;;;;;
Economics Development and Business Sciences;Bachelor of Arts (General);N/A;Bachelor's Degree;3;Mbombela;28;28;English HL or FAL Level 4 (50%);Level 2 (30%);Yes — Mathematical Literacy Level 3 (40%) accepted;Not required;Not required;No additional subject requirements beyond English and Mathematics/MathLit;No;;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;;;;;;
Economics Development and Business Sciences;Bachelor of Laws (LLB);N/A;Bachelor's Degree (Professional);4;Mbombela;33;33;English HL or FAL Level 4 (50%);Level 3 (40%);Yes — Mathematical Literacy Level 4 (50%) accepted;Not required;Not required;Bachelor Endorsement required;One additional language at Level 4 (50%);Yes;Monthly selection — applicants who exceed minimum admission requirements and have completed NSC or equivalent receive conditional offers;at least 50% of places reserved for applicants completing NSC or equivalent; each month new applicants considered alongside those already on hold;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;;;
Economics Development and Business Sciences;Bachelor of Commerce (General) (BCom);N/A;Bachelor's Degree;3;Mbombela;30;N/A — MathLit NOT accepted;English HL or FAL Level 4 (50%);Level 4 (50%) — higher than most programmes;No — Mathematical Literacy explicitly NOT accepted;Not required;Not required;Maths L4 compulsory; MathLit not accepted;No;Mathematical Literacy is explicitly NOT accepted for BCom General — this is a key distinguishing feature;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;;;;;
Economics Development and Business Sciences;Bachelor of Administration (BAdmin);N/A;Bachelor's Degree;3;Mbombela;32;32;English HL or FAL Level 4 (50%);Level 2 (30%);Yes — Mathematical Literacy Level 3 (40%) accepted;Not required;Not required;Second Language at Level 4 (50%);Agriculture OR Geography OR Life Science at Level 4 (50%);students wishing to take Economics as elective must have Maths L4 OR MathLit L4;NCV route: NCV Level 4 in Primary Agriculture with ≥50% English (HL or FAL), ≥40% Maths OR ≥70% MathLit;No;Students wishing to register Economics as an elective require Maths L4 OR MathLit L4 — this is an additional in-programme requirement not a general admission one;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;;;
Economics Development and Business Sciences;Bachelor of Social Work;N/A;Bachelor's Degree (Professional);4;Mbombela;32;32;English HL or FAL Level 4 (50%);Level 2 (30%);Yes — Mathematical Literacy Level 3 (40%) accepted;Not required;Not required;No additional specific subject requirements beyond English and Mathematics/MathLit;No;Four-year professional degree;480 credits;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;;;;;
Economics Development and Business Sciences;Diploma in Hospitality Management;N/A;Diploma;3;Mbombela;24;25;English HL or FAL Level 4 (50%);Level 3 (40%);Yes — Mathematical Literacy Level 4 (50%) accepted — 1 AP point higher threshold;Not required;Not required;Diploma Endorsement required; One additional language; Any four other subjects;360 credits;No;Two different minimum APS: 24 with Maths, 25 with MathLit; Diploma Endorsement (not Bachelor) needed;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;;
Economics Development and Business Sciences;Higher Certificate in Event Management;N/A;Higher Certificate;1;Mbombela;19;21;English HL or FAL Level 4 (50%);Level 2 (30%);Yes — Mathematical Literacy Level 4 (50%) OR Technical Mathematics Level 4 accepted — higher APS threshold;Not required;Not required;Higher Certificate or Diploma Endorsement;any three additional Vocational Subjects at Level 2;NCV route: NCV Level 4 with recommended subjects: Business Studies, Hospitality Studies and Tourism Discipline;120 credits;No;Lowest APS requirement at UMP (19 with Maths / 21 with MathLit);1-year qualification; Technical Mathematics accepted in place of MathLit;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;
Agriculture and Natural Sciences;Bachelor of Science in Agriculture (BSc Agriculture);N/A;Bachelor's Degree;4;Mbombela;30;30;English HL or FAL Level 4 (50%);Level 4 (50%);Yes — Mathematical Literacy Level 6 (70%) accepted — very high MathLit threshold;Life Sciences OR Biology OR Agriculture at Level 4 (50%);Physical Sciences Level 4 (50%);Any other relevant subjects at Level 4 (50%);480 credits;No;MathLit accepted but at very high Level 6 threshold (70%); Life Sciences/Biology/Agriculture and Physical Sciences both compulsory;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;;;;
