Faculty;Programme;Qual_Code;Qualification_Type;NQF_Level;Duration_Years;Campus;Min_APS_Main;Min_APS_ECP;English_Requirement_Main;Mathematics_Requirement_Main;MathLit_Accepted_Main;Physical_Sciences_Requirement;Life_Sciences_Requirement;Additional_Subject_Requirements;ECP_Available;ECP_Subject_Requirement_Notes;Additional_Notes;Source;;;;;;;;;;;
IMPORTANT NOTE - WSU APS SYSTEM;;;;;;;;;;;;;;;;;;;;WSU uses its own APS conversion table (NOT the standard NSC 7-point scale). APS is the sum of the best SIX subjects excluding Life Orientation. Percentage marks are converted: 90-100%=8pts;80-89%=7pts;70-79%=6pts;60-69%=5pts;50-59%=4pts;40-49%=3pts;30-39%=2pts;0-29%=1pt. Note that 7 and 8 are BOTH at NSC Level 7 (distinguished);max possible APS is 48.;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf
Economic & Financial Sciences;Diploma in Accountancy;W63001;Diploma;6;3;Mthatha;21;N/A;English HL or FAL L3 (40-49%);Mathematics L3 (40-49%);No - Maths explicitly required;Not required;Not required;Any two additional subjects L3 (40-49%);No;;SAICA foundational pathway; prepares for accounting technician or CIMA route;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;
Economic & Financial Sciences;Diploma in Financial Information Systems;W63002;Diploma;6;3;Mthatha;21;N/A;English HL or FAL L3 (40-49%);Mathematics L3 (40-49%);No - Maths explicitly required;Not required;Not required;Any two additional subjects L3 (40-49%);No;;Covers accounting, taxation, auditing and management accounting in information systems context;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;;
Economic & Financial Sciences;Diploma in Internal Auditing;W63004 / W63005;Diploma;6;3 (main) / 4 (ECP);Mthatha;21;20;English HL or FAL L3 (40-49%);Mathematics L3 (40-49%) OR Accounting L3 (40-49%);Yes - MathLit L5 (60-69%) for main stream;MathLit L4 (50-59%) for ECP;Not required;Not required;No additional subject requirements;Yes;ECP: same subjects but MathLit threshold drops from L5 to L4;APS drops from 21 to 20;Pathway to internal auditing profession; covers financial and operational audit functions;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;
Economic & Financial Sciences;Bachelor of Accounting;W63008;Bachelor's Degree;7;3;Mthatha;25;N/A;English HL or FAL L4 (50-59%);Mathematics L4 (50-59%) - compulsory;No - Maths is compulsory;Not required;Not required;No additional subject requirements specified;No;;Prepares graduates with financial, analytical and managerial skills for commerce and industry;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;;
Economic & Financial Sciences;Bachelor of Accounting Sciences;W63009;Bachelor's Degree;7;4;Mthatha;27;N/A;English HL or FAL L5 (60-69%) - higher than standard;Mathematics L4 (50-59%) - compulsory;No - Maths is compulsory;Not required;Not required;No additional subject requirements specified;No;;SAICA-accredited CA(SA) pathway programme; prepares students for CTA (Certificate in Theory of Accounting);4-year degree;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;
Economic & Financial Sciences;Bachelor of Commerce;W63010;Bachelor's Degree;7;3;Mthatha;25;N/A;English HL or FAL L4 (50-59%);Mathematics L3 (40-49%);Yes - MathLit L5 (60-69%) accepted;Not required;Not required;No additional subject requirements specified;No;;General BCom covering fundamental principles and practices of commerce;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;;
Economic & Financial Sciences;Bachelor of Commerce in Business Management;W63011;Bachelor's Degree;7;3;Mthatha;25;N/A;English HL or FAL L4 (50-59%);Mathematics L3 (40-49%);Yes - MathLit L5 (60-69%) accepted;Not required;Not required;No additional subject requirements specified;No;;Develops logical and critical thinking for business decision-making; emphasis on problem-solving and information analysis;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;
Economic & Financial Sciences;Bachelor of Commerce in Economics;W63012;Bachelor's Degree;7;3;Mthatha;25;N/A;English HL or FAL L4 (50-59%);Mathematics L3 (40-49%);Yes - but MathLit requires L6 (70-79%) - higher threshold than other BComs;Not required;Not required;No additional subject requirements specified;No;;MathLit threshold is L6 (70-79%) - stricter than other BComs which accept L5; covers micro and macro economics;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;
Education;BEd in Foundation Phase Teaching;W62006;Bachelor's Degree;7;4;Mthatha / Komani;24;N/A;IsiXhosa HL L4 (50-59%) AND English FAL L4 (50-59%) - both required;Mathematics L2 (30-39%);Yes - MathLit L4 (50-59%) accepted;Not required;Not required;Life Orientation L5 (60-69%) compulsory as major subject;any other two subjects totalling 8 APS points;No;;Teaches Grades R-3; Life Orientation is a teaching subject (major) so LO IS included in APS calculation for this programme only; Funza Lushaka eligible;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;
